song,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,type,id,uri,track_href,analysis_url,external_urls
Los Gritos del Silencio 1 - En Directo (Madrid),Los Muertos de Cristo,0.229,0.993,7,-1.639,0,0.147,0.0211,0.0,0.568,0.362,153.697,183824,4,audio_features,3LAx4FwxqakpDI5hTcVhog,spotify:track:3LAx4FwxqakpDI5hTcVhog,https://api.spotify.com/v1/tracks/3LAx4FwxqakpDI5hTcVhog,https://api.spotify.com/v1/audio-analysis/3LAx4FwxqakpDI5hTcVhog,{'spotify': 'https://open.spotify.com/track/3LAx4FwxqakpDI5hTcVhog'}
Los Gritos del Silencio 2 - En Directo (Madrid),Los Muertos de Cristo,0.308,0.991,5,-1.711,1,0.111,0.0239,0.0,0.384,0.284,109.271,203389,4,audio_features,3Kc5Vh6lFnFwCVeEyYzoL3,spotify:track:3Kc5Vh6lFnFwCVeEyYzoL3,https://api.spotify.com/v1/tracks/3Kc5Vh6lFnFwCVeEyYzoL3,https://api.spotify.com/v1/audio-analysis/3Kc5Vh6lFnFwCVeEyYzoL3,{'spotify': 'https://open.spotify.com/track/3Kc5Vh6lFnFwCVeEyYzoL3'}
Ave Fénix,El Noi del Sucre,0.538,0.88,9,-5.552,0,0.0899,0.014,0.0,0.266,0.352,139.928,265000,4,audio_features,5yEPGpmHYYNOG5WuTjHXK8,spotify:track:5yEPGpmHYYNOG5WuTjHXK8,https://api.spotify.com/v1/tracks/5yEPGpmHYYNOG5WuTjHXK8,https://api.spotify.com/v1/audio-analysis/5yEPGpmHYYNOG5WuTjHXK8,{'spotify': 'https://open.spotify.com/track/5yEPGpmHYYNOG5WuTjHXK8'}
Anarko-Windows,El Noi del Sucre,0.542,0.999,7,-1.917,1,0.0803,0.0096,9.97e-05,0.249,0.222,119.988,239000,4,audio_features,7EHqo0NWfPJ0butovmEeaX,spotify:track:7EHqo0NWfPJ0butovmEeaX,https://api.spotify.com/v1/tracks/7EHqo0NWfPJ0butovmEeaX,https://api.spotify.com/v1/audio-analysis/7EHqo0NWfPJ0butovmEeaX,{'spotify': 'https://open.spotify.com/track/7EHqo0NWfPJ0butovmEeaX'}
Rock'n'roll,Cicatriz,0.618,0.707,7,-12.337,1,0.0613,0.000309,0.177,0.206,0.777,117.904,82493,4,audio_features,1TOJwpeEGYEXaUmYDKDGwd,spotify:track:1TOJwpeEGYEXaUmYDKDGwd,https://api.spotify.com/v1/tracks/1TOJwpeEGYEXaUmYDKDGwd,https://api.spotify.com/v1/audio-analysis/1TOJwpeEGYEXaUmYDKDGwd,{'spotify': 'https://open.spotify.com/track/1TOJwpeEGYEXaUmYDKDGwd'}
Lola,Cicatriz,0.511,0.907,7,-4.053,1,0.0529,0.000108,0.0,0.318,0.677,148.101,220920,4,audio_features,3GN7Z74sZHUDPHh6ulvWpJ,spotify:track:3GN7Z74sZHUDPHh6ulvWpJ,https://api.spotify.com/v1/tracks/3GN7Z74sZHUDPHh6ulvWpJ,https://api.spotify.com/v1/audio-analysis/3GN7Z74sZHUDPHh6ulvWpJ,{'spotify': 'https://open.spotify.com/track/3GN7Z74sZHUDPHh6ulvWpJ'}
Enemigo Publico,Cicatriz,0.42,0.715,4,-12.244,0,0.0548,0.0203,0.106,0.0693,0.447,165.149,158947,4,audio_features,2U79EanNfw7bRqC68Jnfgf,spotify:track:2U79EanNfw7bRqC68Jnfgf,https://api.spotify.com/v1/tracks/2U79EanNfw7bRqC68Jnfgf,https://api.spotify.com/v1/audio-analysis/2U79EanNfw7bRqC68Jnfgf,{'spotify': 'https://open.spotify.com/track/2U79EanNfw7bRqC68Jnfgf'}
Esto Saldra Bien,Cicatriz,0.488,0.533,7,-13.495,1,0.0443,0.000233,0.149,0.222,0.727,156.346,228720,4,audio_features,4jtwFHIsFDuwTfqfMyCOUi,spotify:track:4jtwFHIsFDuwTfqfMyCOUi,https://api.spotify.com/v1/tracks/4jtwFHIsFDuwTfqfMyCOUi,https://api.spotify.com/v1/audio-analysis/4jtwFHIsFDuwTfqfMyCOUi,{'spotify': 'https://open.spotify.com/track/4jtwFHIsFDuwTfqfMyCOUi'}
No Puedes Dejar el Punk,Asto Pituak,0.506,0.949,4,-6.996,1,0.0506,0.0118,0.0,0.072,0.507,100.747,134087,4,audio_features,1Am4MGIUVnBm8gkoFAkMZ6,spotify:track:1Am4MGIUVnBm8gkoFAkMZ6,https://api.spotify.com/v1/tracks/1Am4MGIUVnBm8gkoFAkMZ6,https://api.spotify.com/v1/audio-analysis/1Am4MGIUVnBm8gkoFAkMZ6,{'spotify': 'https://open.spotify.com/track/1Am4MGIUVnBm8gkoFAkMZ6'}
El Olor de un Pedo,Asto Pituak,0.396,0.938,4,-6.137,1,0.0719,0.363,0.0,0.0619,0.56,148.19,182282,4,audio_features,1biufs14yn0qLmsIxlX5y4,spotify:track:1biufs14yn0qLmsIxlX5y4,https://api.spotify.com/v1/tracks/1biufs14yn0qLmsIxlX5y4,https://api.spotify.com/v1/audio-analysis/1biufs14yn0qLmsIxlX5y4,{'spotify': 'https://open.spotify.com/track/1biufs14yn0qLmsIxlX5y4'}
Soñe... y Lucho Por ella,Asto Pituak,0.277,0.952,9,-6.489,1,0.171,0.00863,0.0,0.672,0.301,162.918,208744,4,audio_features,1fNbLWJFWb1UoC8k0CCs69,spotify:track:1fNbLWJFWb1UoC8k0CCs69,https://api.spotify.com/v1/tracks/1fNbLWJFWb1UoC8k0CCs69,https://api.spotify.com/v1/audio-analysis/1fNbLWJFWb1UoC8k0CCs69,{'spotify': 'https://open.spotify.com/track/1fNbLWJFWb1UoC8k0CCs69'}
Bailaré Sobre Tu Tumba,Siniestro Total,0.526,0.776,4,-4.904,1,0.0642,0.107,0.0,0.0967,0.781,132.509,186467,4,audio_features,7vd5Lq3E3lh38v9yY6hfO7,spotify:track:7vd5Lq3E3lh38v9yY6hfO7,https://api.spotify.com/v1/tracks/7vd5Lq3E3lh38v9yY6hfO7,https://api.spotify.com/v1/audio-analysis/7vd5Lq3E3lh38v9yY6hfO7,{'spotify': 'https://open.spotify.com/track/7vd5Lq3E3lh38v9yY6hfO7'}
Cuanta Puta y Yo Que Viejo,Siniestro Total,0.542,0.857,0,-7.055,1,0.0349,0.183,1.7e-06,0.379,0.637,143.572,168867,4,audio_features,4wehIPk8ns0UX9IN0OvHgP,spotify:track:4wehIPk8ns0UX9IN0OvHgP,https://api.spotify.com/v1/tracks/4wehIPk8ns0UX9IN0OvHgP,https://api.spotify.com/v1/audio-analysis/4wehIPk8ns0UX9IN0OvHgP,{'spotify': 'https://open.spotify.com/track/4wehIPk8ns0UX9IN0OvHgP'}
